readout,kind,block,dim,n_categories,mean_global_dispersion,sd_global_dispersion,mean_knn_dist,rho_global_vs_released_clip,p_global_vs_released_clip,rho_global_vs_released_dinov3,p_global_vs_released_dinov3,rho_global_vs_frequency,p_global_vs_frequency,rho_local_vs_released_clip,p_local_vs_released_clip,rho_local_vs_released_dinov3,p_local_vs_released_dinov3,rho_local_vs_frequency,p_local_vs_frequency,rho_global_vs_local_within,p_global_vs_local_within
cls_L10,cls,10,768,72,23.72006153916649,1.3408989057741119,26.92054384073241,0.16528394108945915,0.16528962356502355,0.5300983986108432,1.6773262003293912e-06,-0.21894723460157056,0.06463081171664173,0.32310759534375205,0.005634107401767052,0.6448003087015243,9.790577276109272e-10,-0.21549000373792943,0.06907722666202437,0.6938388320792336,1.4095507121916597e-11
cls_L11,cls,11,768,72,23.736212001220213,2.2795030127447724,27.198594560420595,0.40504212489549174,0.0004166784309964556,0.7336806225480739,2.292534040724719e-13,-0.16642948576132896,0.1623379386267007,0.4587111711364076,5.069203881915436e-05,0.7823011126117436,4.898073071558853e-16,-0.12148548453399426,0.3093586915995844,0.8658113061933246,9.746572749949293e-23
mean_L00,mean,0,768,72,22.507257212900644,5.516194477826495,21.622532846211985,0.4523120457907262,6.640431689657831e-05,0.13830471412952602,0.24662192739587988,-0.12518391755091268,0.294749779665161,0.5978519518940125,2.9395401504173444e-08,0.18274487105280088,0.12442234053934106,-0.10915201442974888,0.3613966762787598,0.8943018843655541,3.783847126017284e-26
mean_L01,mean,1,768,72,23.35337762540868,3.310077695647067,22.849007512635193,0.361566660235385,0.001804814988569713,0.2012669625056274,0.09001588464427379,-0.17130176925753018,0.150217535432274,0.5241494629879736,2.2967417174125525e-06,0.2752588590906168,0.019274771904780903,-0.14774435895411503,0.21552266865996217,0.8731751238021739,1.53913787657596e-23
mean_L02,mean,2,768,72,23.6257610065882,2.5417394593147824,23.923194101725276,0.2676377902115892,0.02303392740306922,0.16020322850344074,0.17885811254595388,-0.08345594503394178,0.4858210334449694,0.3846549617338736,0.0008495287304818367,0.2577657727185028,0.02881409323484182,-0.05665034573305914,0.6364549442064449,0.8512122966107147,2.7948088016600348e-21
mean_L03,mean,3,768,72,23.602249420065167,2.3992326431748134,23.912788370170958,-0.022798893819538237,0.8492355049258526,0.26403627242909516,0.025016740999803104,0.10070993906504382,0.3999339318947164,0.20892018779342728,0.07820246039189782,0.4034664608656506,0.00044098212627570975,0.13338479076234047,0.26399470026710203,0.7665766287221045,4.205677085006391e-15
mean_L04,mean,4,768,72,23.972731073239917,2.243621529528293,26.13962812823496,-0.07322014277445497,0.541039855090832,0.2617853238150364,0.026327981807754336,0.19752848339054735,0.09627604511453072,0.13971959611550586,0.2417743813699439,0.4275837674448518,0.00017948759639229572,0.18697990922055394,0.11578486792377846,0.7914013762942956,1.2988705838562395e-16
mean_L05,mean,5,768,72,24.244541571632382,2.102823961009063,27.66562490478102,-0.165026689819281,0.16595787349797403,0.19383883207923341,0.10278363382590397,0.12860898812745014,0.28163077834187394,-0.017975432503697993,0.8808677823004639,0.3586404270371086,0.0019780082448965855,0.13378679435113594,0.26254497177998826,0.8314682616245419,1.538788812831689e-19
mean_L06,mean,6,768,72,23.977301154181553,1.968132668833161,27.770658361563452,-0.14393208566467297,0.22773186164966053,0.18129783265804877,0.12748366474071077,0.13502496540462602,0.25811365085661325,-0.06440928677085345,0.5909053724655686,0.3445559199948551,0.0030385106727626623,0.1348320036820042,0.2588008878652229,0.8829185156601712,1.1128090034629572e-24
mean_L07,mean,7,768,72,23.940265048988266,1.8243268092352103,27.914423763124674,-0.14090938324007976,0.2377491354603601,0.309441121615538,0.00816907089253586,0.13947916516847994,0.2425934639959249,-0.07984436298154224,0.504957232612388,0.40079747893755235,0.0004851198513709794,0.144013765650093,0.22746532058314853,0.8393465817737478,3.3172433136989835e-20
mean_L08,mean,8,768,72,23.353089157068442,2.10420619160969,26.912637636143092,-0.20326065984950803,0.0868109815006328,0.2522348704096727,0.032555853350189165,0.08041679790264794,0.5018984610934555,-0.0860827062833623,0.47214799709895217,0.36005530902308835,0.0018924855690255367,0.09308795102148149,0.4367197356382708,0.8579972988616632,6.154271773953401e-22
