readout,kind,block,dim,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global,global_dispersion_per_sqrt_dim,mean_knn_dist_per_sqrt_dim
cls_L01,cls,1,768,sink,64,5,5,19.721373293851524,31.14253524208067,0.05070640797168862,21.851010584193084,0.0023205520759012124,0.7884804276780775,0.7116337612496422
cls_L01,cls,1,768,door,95,5,5,19.29367618839857,32.40958658267155,0.05183045419831952,22.808993038206577,0.002272369241005075,0.8230486419095543,0.6962005713143368
cls_L01,cls,1,768,apple,64,5,5,19.248692496549417,32.3662743537746,0.05195158061667114,22.89142774043313,0.002269477518211285,0.8260232480046209,0.694577362151946
cls_L01,cls,1,768,doll,89,5,5,19.65230085954813,31.860295928289187,0.050884627054452354,22.46867012170995,0.002264692426334837,0.8107682964438838,0.7091413244659768
cls_L01,cls,1,768,plant,99,5,5,18.96853800130687,33.79717904926175,0.052718875852799156,23.89993957326224,0.002205816282137288,0.8624147841399216,0.6844681575742606
cls_L01,cls,1,768,bed,74,5,5,20.73034193056527,31.363979515265946,0.04823847109466044,22.02001578313052,0.0021906646920578417,0.7945788774968885,0.7480417808753028
cls_L01,cls,1,768,jar,79,5,5,20.450473235442015,31.802774622016113,0.048898623933402885,22.348674571681137,0.002187987648957232,0.8064383299994656,0.7379428892211053
cls_L01,cls,1,768,book,94,5,5,20.73072289996486,32.0877192490761,0.04823758461417161,22.535631748592486,0.0021405028779450303,0.8131845660255094,0.7480555279243908
cls_L01,cls,1,768,tray,80,5,5,20.923356466774855,31.836544575873756,0.04779347910015992,22.41606116376743,0.0021321087032636983,0.8088699341920151,0.755006593027685
cls_L01,cls,1,768,box,86,5,5,20.430882553606345,32.68562995897103,0.04894551164768384,23.021756533184636,0.002126054611737879,0.830726083228261,0.7372359713816408
cls_L01,cls,1,768,paper,99,5,5,20.18945638047505,33.105296610998195,0.049530803660820036,23.33472696589403,0.0021226219502466907,0.8420194309515837,0.7285242547537174
cls_L01,cls,1,768,rock,71,5,5,20.21686280150896,33.0479109515554,0.04946365862092913,23.380838382544795,0.002115563942217604,0.8436833333775857,0.7295131987888082
cls_L01,cls,1,768,toy,100,5,5,20.60764951854279,32.61774764106035,0.04852566999939507,23.005195997160058,0.0021093352130268942,0.8301285063575289,0.7436144998060089
cls_L01,cls,1,768,glass,80,5,5,20.839684246614947,32.440928929638204,0.047985371955068516,22.8204858196587,0.002102732270218872,0.8234633519386243,0.7519873318506215
cls_L01,cls,1,768,dog,71,5,5,20.042112467060942,33.79773378660368,0.049894940049033866,23.8386687979721,0.002093025431574363,0.8602038654769704,0.7232074392491494
cls_L01,cls,1,768,clock,92,5,5,17.961483700315963,37.41236869529371,0.055674687942533885,26.693970556483183,0.002085665293768451,0.9632356929078444,0.6481292155889061
cls_L01,cls,1,768,closet,81,5,5,20.359069507381538,33.48515939846195,0.04911815835382027,23.594861289694233,0.002081731176579288,0.8514062198185529,0.7346446412835645
cls_L01,cls,1,768,slide,57,5,5,20.994309784780413,33.13179908625993,0.047631954098578594,23.350541537453033,0.0020398650721731425,0.8425900901482529,0.7575669003558354
cls_L01,cls,1,768,crib,60,5,5,21.726286486751402,32.55204058112138,0.046027193860754614,22.914787398101815,0.002008624084575507,0.8268661670448205,0.7839798344760532
cls_L01,cls,1,768,chair,95,5,5,20.725114941780244,34.0576915318332,0.04825063710426409,24.061540687851622,0.0020053012286376675,0.8682460620780167,0.7478531681639224
cls_L01,cls,1,768,shorts,95,5,5,20.840659986012678,34.024741535124015,0.047983125326700564,24.03655183346364,0.001996256603657208,0.8673443544650391,0.7520225408133677
cls_L01,cls,1,768,pajamas,86,5,5,21.283516650107337,33.572633517035136,0.04698471669130659,23.612035437448707,0.001989863043183003,0.8520259384953747,0.7680027542025846
cls_L01,cls,1,768,drawer,87,5,5,21.011857314733838,34.26440090247703,0.047592175456987545,24.113967598362198,0.0019736352080119727,0.8701378552590205,0.7582000923022243
cls_L01,cls,1,768,purse,76,5,5,21.3428447624206,33.740905019208284,0.04685411017751248,23.763573798760202,0.001971677769273785,0.8574941081013588,0.7701435730534956
cls_L01,cls,1,768,basket,91,5,5,21.302421772127985,34.05059123134621,0.04694301946966408,23.89138827241504,0.0019648510557197054,0.8621062156495433,0.7686849340330648
cls_L01,cls,1,768,fork,63,5,5,22.177300132488764,32.803385132647236,0.045091151493911755,23.00344144384321,0.0019601915480337937,0.8300651943681671,0.8002543875869694
cls_L01,cls,1,768,bottle,85,5,5,21.527022157690826,34.03543650409193,0.046453243401467684,23.903463893730386,0.0019433686936750558,0.8625419571006087,0.7767895023496149
cls_L01,cls,1,768,napkin,77,5,5,20.81877589251633,35.018161490255785,0.04803356379658553,24.72604812664287,0.0019426300373826535,0.8922244088695565,0.7512328666089247
cls_L01,cls,1,768,window,99,5,5,20.812702681255534,35.11988726881725,0.04804758013963397,24.743773500033555,0.0019418048803093357,0.8928640181882189,0.7510137184741581
cls_L01,cls,1,768,flower,93,5,5,19.94381043064136,36.68452017577303,0.05014086969376803,25.839390440735887,0.0019404819091521901,0.9323986891659193,0.7196602700498534
cls_L01,cls,1,768,towel,83,5,5,21.59453935056349,34.07366771607001,0.04630800332278937,23.90763457386383,0.0019369546234161512,0.862692453556718,0.7792258191921124
cls_L01,cls,1,768,shoe,94,5,5,21.134924299903357,34.94047026518552,0.047315050000182525,24.695011181122055,0.0019159760509180176,0.8911044595663523,0.762640889615723
cls_L01,cls,1,768,butterfly,92,5,5,20.572306315791735,36.1549419323994,0.04860903705445893,25.42373940413211,0.0019119546610267145,0.9174001742989106,0.7423391618296123
cls_L01,cls,1,768,dish,90,5,5,21.372218876504327,34.760746920877544,0.04678971358932487,24.602552844679515,0.0019018235174502833,0.887768156726732,0.7712035200955859
cls_L01,cls,1,768,scarf,73,5,5,22.16150648234016,33.81839744790562,0.04512328621688557,23.763791915138256,0.001898825169738196,0.8575019786982079,0.7996844833266706
cls_L01,cls,1,768,pillow,85,5,5,21.977175852039675,34.1969453803813,0.04550175175975539,24.027550694265013,0.0018937324215329164,0.8670195538313303,0.7930330246376781
cls_L01,cls,1,768,sock,83,5,5,21.962688331074336,34.19040709727062,0.04553176664557638,24.090653375866545,0.0018900179225188238,0.8692965757194073,0.7925102512546013
cls_L01,cls,1,768,blanket,92,5,5,22.093880335988505,34.96981379332584,0.045261402016879296,24.574335255304668,0.0018418159248929868,0.8867499421753914,0.7972442349641464
cls_L01,cls,1,768,bench,64,5,5,22.400601682848666,34.47680794162945,0.044641658030358355,24.244157868048426,0.0018413367159760977,0.8748356919620964,0.8083120882251414
cls_L01,cls,1,768,dress,97,5,5,22.52739931902019,34.88749639944441,0.04439038815970587,24.516786664165583,0.0018106120009841295,0.8846733362637892,0.8128875038111563
cls_L01,cls,1,768,bowl,88,5,5,21.895310560305134,36.04685041451564,0.04567188016108523,25.355936907032355,0.0018012302337137597,0.9149535624268936,0.7900789653739141
cls_L01,cls,1,768,can,61,5,5,22.601223161745555,35.292904308022706,0.04424539295256298,24.829102390563225,0.0017819972811171493,0.8959430593080288,0.8155513922780376
cls_L01,cls,1,768,pony,63,5,5,22.133148495026635,37.176994722376826,0.04518110020473148,26.320264223348907,0.0017165899179937174,0.9497507271557856,0.7986612026010993
cls_L01,cls,1,768,lamp,92,5,5,21.061128345896382,39.0094467379085,0.047480836903728535,27.67597344925923,0.0017155977183884528,0.9986706700634221,0.7599780074962834
cls_L01,cls,1,768,hat,78,5,5,23.101589144520933,36.05831118412176,0.043287065393818276,25.41183954088354,0.00170342116808098,0.916970774970793,0.8336067944560811
cls_L01,cls,1,768,necklace,85,5,5,22.35786012605528,37.2830677603408,0.044726999559077905,26.347341753067106,0.0016975905948413644,0.9507278033477725,0.806769785142626
cls_L01,cls,1,768,stick,73,5,5,23.453179942585795,36.25798218361757,0.042638141286087214,25.521244921724463,0.0016706920613340584,0.9209186016007493,0.8462937345752901
cls_L01,cls,1,768,cup,83,5,5,23.1923538629226,37.127843627174435,0.04311765877282041,26.220603827114804,0.0016444189865769724,0.946154542368704,0.8368819841187138
cls_L01,cls,1,768,bird,63,5,5,23.647713535353326,37.22006383730994,0.04228738641074116,26.091701872911404,0.0016207216614966859,0.9415031937463039,0.8533133609597126
cls_L01,cls,1,768,bucket,71,5,5,24.899368790088698,38.39103757666531,0.040161660660171204,26.90382259575363,0.0014927864067357524,0.9708080761180186,0.8984785796005923
cls_L01,cls,1,768,ball,86,5,5,24.185592138736986,40.68924067638705,0.04134693061322011,28.732362937655697,0.0014390369042370744,1.0367898422818465,0.8727223832381436
cls_L01,cls,1,768,car,69,5,5,24.589835908303954,41.48948515080038,0.04066720915621488,29.514368439468203,0.0013778783455800632,1.0650080352180478,0.8873092738117508
cls_L01,cls,1,768,balloon,74,5,5,25.625807206009714,43.47688918922071,0.039023160986143765,30.828453028336828,0.0012658163856056788,1.1124259784131252,0.9246916680369476
cls_L02,cls,2,768,swing,65,5,5,16.108578978286435,25.66770092661409,0.06207872223539707,17.976213202031317,0.003453381506867206,0.6486607207001804,0.5812682755860012
cls_L02,cls,2,768,vacuum,62,5,5,18.528040507282512,27.904715564280544,0.05397224815041539,19.547550836265035,0.0027610747045755174,0.7053614835822195,0.6685730734022406
cls_L02,cls,2,768,stroller,88,5,5,17.864514329727413,29.0578046991798,0.05597689260076619,20.502605141938577,0.0027302331685773967,0.7398240373616777,0.6446301348256281
cls_L02,cls,2,768,refrigerator,65,5,5,19.37564557257138,28.06543376644676,0.051611183547640015,19.669447049936053,0.0026239265098104425,0.7097600343182294,0.6991583866904292
cls_L02,cls,2,768,jeans,84,5,5,19.031251262717255,29.122553827892794,0.05254515250707806,20.483211648445593,0.002565278990859109,0.7391242349436339,0.6867311274715758
cls_L02,cls,2,768,couch,98,5,5,19.21236639152128,29.270005343328748,0.052049808941875886,20.6017489285433,0.0025264752581156806,0.7434015806044725,0.6932665567446581
cls_L02,cls,2,768,grass,100,5,5,19.290107217955896,29.405058373881204,0.051840043640046,20.578499172175103,0.0025191362696722172,0.7425626272858618,0.6960717871864738
cls_L02,cls,2,768,oven,83,5,5,19.165106919221778,29.698007758243246,0.05217815920437381,20.799216705963932,0.0025086598183965427,0.7505270852576024,0.6915612274287908
cls_L02,cls,2,768,tree,99,5,5,18.80288739384522,30.31758612479735,0.05318332121306707,21.226023763531373,0.0025055715477169034,0.7659281583562645,0.6784907561486725
cls_L02,cls,2,768,cracker,73,5,5,19.509579078702696,29.906986545774217,0.05125687212245564,20.981645416274457,0.0024429386306708883,0.7571099143204585,0.7039912958040808
cls_L02,cls,2,768,jacket,76,5,5,19.84200178440547,29.916683105354252,0.050398140815909785,20.933093687191896,0.002407582059729009,0.7553579547044936,0.7159865669679708
cls_L02,cls,2,768,pants,90,5,5,19.30315565138108,31.031100507317056,0.051805001112781954,21.795823874269722,0.002376831516515349,0.7864890488137061,0.6965426319708821
cls_L02,cls,2,768,shower,77,5,5,20.05483700806788,30.09591652695484,0.0498632823392037,21.17087438527045,0.0023552774170676615,0.763938126582228,0.7236665965726288
cls_L02,cls,2,768,sweater,97,5,5,19.884811857916105,30.739985406751156,0.050289638501251496,21.646215116107783,0.0023232531983768856,0.7810905077638359,0.7175313424345579
cls_L02,cls,2,768,cat,68,5,5,19.897698032171178,31.198886203408215,0.05025706985718503,21.863667533328737,0.0022986568827290162,0.7889371459899893,0.7179963321954949
cls_L02,cls,2,768,watch,97,5,5,20.281681188533003,31.389317233828205,0.049305577318974274,22.096912847041597,0.0022313332934910616,0.7973536612811979,0.7318521308636062
cls_L02,cls,2,768,table,94,5,5,20.215877839365852,31.818202463045512,0.04946606859944148,22.418422149535267,0.0022064919765313147,0.8089551289275535,0.7294776570289041
cls_L02,cls,2,768,shirt,91,5,5,20.893069398127576,30.932125604680675,0.04786276161460601,21.78391474497,0.002197160711237989,0.7860593151257681,0.7539137025754056
cls_L02,cls,2,768,plate,93,5,5,20.25749078503956,32.236896285772275,0.04936445538153787,22.70421222716925,0.0021742421576937754,0.81926769006841,0.7309792348655597
cls_L02,cls,2,768,slide,57,5,5,20.840233793865885,31.627210381033088,0.04798410660317736,22.261034551993525,0.002155520063144607,0.8032758931895639,0.7520071619289503
cls_L02,cls,2,768,doll,89,5,5,20.592445860281238,32.4990105672337,0.048561497103595766,22.95004089622023,0.002115965602117669,0.8281382680841044,0.7430658850441355
