readout,kind,block,dim,n_categories,mean_global_dispersion,sd_global_dispersion,mean_knn_dist,rho_global_vs_released_clip,p_global_vs_released_clip,rho_global_vs_released_dinov3,p_global_vs_released_dinov3,rho_global_vs_frequency,p_global_vs_frequency,rho_local_vs_released_clip,p_local_vs_released_clip,rho_local_vs_released_dinov3,p_local_vs_released_dinov3,rho_local_vs_frequency,p_local_vs_frequency,rho_global_vs_local_within,p_global_vs_local_within
cls_L10,cls,10,768,72,23.424067911331278,1.3503842853863497,26.27691270067397,0.7112997620425752,2.5243086923256915e-12,0.3021094604154609,0.009903248113806861,0.007396866033836844,0.9508281444250886,0.8317576693034923,1.4565006407239684e-19,0.3854910283619526,0.0008258007210771968,-0.09167289838892141,0.4437529450470813,0.7509807704675543,3.02456137614365e-14
cls_L11,cls,11,768,72,22.913905083464982,1.249600289763063,25.92778016696132,0.9328895748922761,9.162444907031207e-33,0.35349540163354565,0.0023190259054176035,0.0086993576615342,0.9421833536354959,0.9446909769116988,1.2866391470427263e-35,0.506109717666731,5.748837539997626e-06,-0.08926087685614852,0.45588599207038627,0.8851373078654577,5.92170571207096e-25
mean_L00,mean,0,768,72,23.588930857448076,3.5387422394436805,23.214541469101253,0.18692520419319575,0.11589342041236775,0.13004051707505307,0.2762642915385734,-0.10981130031537349,0.3584862700203587,0.4903209209595473,1.2307844809238098e-05,0.08138787060261111,0.49673161918216036,-0.15528594627991826,0.1927450815682116,0.7464467168306644,5.224317447529908e-14
mean_L01,mean,1,768,72,24.127053212730445,2.99860202418509,24.20134808713176,0.07209466846742557,0.5472932366878469,0.085568203743006,0.4748096798890399,-0.00496876435751214,0.966958102574849,0.4059425043411153,0.0004033462803542583,0.06736767637790213,0.5739329972130361,-0.06597682899311427,0.5818841817798802,0.7916586275644738,1.2498453628920844e-16
mean_L02,mean,2,768,72,24.05258657506053,2.354187027434233,24.892473751415903,0.06032542285677537,0.6146982458350244,0.12531352498552964,0.29424617020759664,0.04676105744869031,0.6964995939841634,0.3254228567753554,0.005281630877214739,0.16608785130876585,0.16321411437342703,0.003569791868503868,0.9762579476248441,0.8085085857611423,8.880975655941866e-18
mean_L03,mean,3,768,72,24.266165737241522,1.9309340959278694,25.607039963012703,0.07955495530259182,0.5065073146216861,0.24892276030612906,0.03498554551537729,0.23142542599778226,0.050467031993343216,0.2491156987587627,0.03483997043330269,0.2156730336356036,0.0688358223540069,0.15559146900740284,0.19186029893473164,0.7750659206379832,1.3459202331742662e-15
mean_L04,mean,4,768,72,24.175753287362532,1.8135486513316383,26.221879323513686,0.0765322528779986,0.5228421529219558,0.26143160331854143,0.026539225270265508,0.21552216402503305,0.06903476017119319,0.25242780886230626,0.03241878931150877,0.29371663772589884,0.01227463907320978,0.20569719631487152,0.08301734478762404,0.7679915107080842,3.489991636382402e-15
mean_L05,mean,5,768,72,24.263950382097885,1.7842696429463463,27.390750379484963,0.10389735674319894,0.3851081633540113,0.18049392243874207,0.12920899033183827,0.10928065557816345,0.3608276569442683,0.25217055759212814,0.0326016491343671,0.3315968872596309,0.004435136318760822,0.12592360415429635,0.2918831998634961,0.8431410380088753,1.5377865533925765e-20
mean_L06,mean,6,768,72,23.974251893555305,1.8891084819343684,27.431631889924162,0.08280275258859092,0.48925332666081023,0.15714836967007528,0.1873969418771011,0.08363282661301179,0.4848937820260866,0.25011254743070294,0.03409587038562535,0.3476107788282205,0.002772902662298093,0.10881433141516071,0.3628929690881224,0.8756833236864108,7.994455932503768e-24
mean_L07,mean,7,768,72,23.398130629887056,1.8799174227273763,26.715178267074627,0.037397903402148054,0.7551263339539489,0.1710077818509229,0.1509291582199846,0.06920893784702996,0.563485040662687,0.2152550003215641,0.06938817772883167,0.41189143996398486,0.00032461089306602,0.13159989482808854,0.2704966528245559,0.816612000771754,2.264738779572988e-18
mean_L08,mean,8,768,72,22.79754186295973,1.638971583416185,25.872811469762322,0.24406714258151654,0.03881988903008087,0.3768731108109847,0.0011019234226890822,0.19309036377024524,0.10414455761279981,0.45652453533989334,5.5624973743429145e-05,0.599588397967715,2.6172259710618775e-08,0.18130361854676175,0.12747131112892007,0.7833944305100007,4.190211414095786e-16
mean_L09,mean,9,768,72,22.143237677924912,1.3228781224316613,24.905290852464155,0.32471541578236546,0.005387205392293641,0.40568525307093706,0.00040711512298321486,0.11971666874329413,0.31650822002205586,0.4767509164576501,2.298990786023274e-05,0.6227410122837483,5.194918509996395e-09,0.10151394624263475,0.39616291403409687,0.7853238150363369,3.174303363121774e-16
mean_L10,mean,10,768,72,22.048692324128933,1.4516997609474491,24.752370497309563,0.2873496687889897,0.014388084216336527,0.3620168499581967,0.0017794156741047537,0.08445291393415456,0.4806069910657501,0.478776770210303,2.0977507247793376e-05,0.6126760563380281,1.0661847079147825e-08,0.039428511989060736,0.7422807079813644,0.8117885394559138,5.148770418197422e-18
mean_L11,mean,11,768,72,21.925437293164556,1.369992370675395,24.388776814734666,0.3357772204000258,0.003932540104232462,0.4472956460222523,8.175232767990217e-05,0.10066169863438834,0.4001608624082711,0.5182648401826485,3.1160768458229377e-06,0.6224837610135701,5.2929540634127775e-09,0.06980390315844726,0.5601282841140676,0.8100842497909835,6.843779012958727e-18
final,final,-1,512,72,18.522431286784112,1.186638824656893,20.795362380043354,0.9933436233841406,1.9026612400684146e-67,0.43073509550453415,0.0001587915590093186,0.01963385527677127,0.869968255907591,0.9939224387420413,7.9566414040805e-69,0.5411923596372757,9.183688109288765e-07,-0.07038278832631276,0.5568713807814081,0.9025982378287994,2.500175379750779e-27
