source,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global
released_clip,sock,83,5,5,20.775854447274035,25.709357635039147,0.04813279774065843,18.06375733795461,0.0026646060861061473
released_clip,bottle,85,5,5,20.6040223178446,26.110714208206904,0.04853421261992744,18.348410534089663,0.002645145339960392
released_clip,lamp,92,5,5,20.005855255352788,26.788645789465477,0.04998536614586567,18.899193782455974,0.002644841188530848
released_clip,pillow,85,5,5,20.523022793324316,26.328202481534834,0.048725765695942114,18.49135197651952,0.0026350569583995
released_clip,plate,93,5,5,19.745417383859763,27.319937411096962,0.05064466253407319,19.24195436470695,0.0026319916144777996
released_clip,towel,83,5,5,20.905115842562225,26.06039713433835,0.04783518099258882,18.305573570724768,0.002613148438521989
released_clip,sweater,97,5,5,21.066904157362444,26.065854606082382,0.04746781931176731,18.316056452917703,0.002591596036722512
released_clip,glass,80,5,5,21.068966322182984,26.18409990870593,0.04746317330941505,18.380759454164597,0.0025822204696042167
released_clip,balloon,74,5,5,20.77725223263887,26.76896488869695,0.04812955961660347,18.80100653287593,0.002559945901430483
released_clip,chair,95,5,5,20.826393622092006,26.68161615894667,0.04801599442254036,18.78883983517955,0.0025555593024236085
released_clip,dress,97,5,5,21.153520905659853,26.448010932145326,0.04727345411951914,18.58078942938641,0.0025442112833351364
released_clip,sink,64,5,5,21.164836018676553,26.699396831687793,0.04724818085609389,18.743079035596896,0.0025208334642541947
released_clip,blanket,92,5,5,21.52733643959071,26.34340973847886,0.04645256522125561,18.508686960143763,0.002509770969776821
released_clip,jar,79,5,5,21.29267425110078,26.696560660107128,0.046964509399203457,18.751559866272405,0.0025045654726397683
released_clip,rock,71,5,5,21.3631492902401,26.843207224207237,0.04680957785830092,18.84195503982796,0.002484327011679799
released_clip,cup,83,5,5,21.06558283329661,27.330359463905534,0.047470796697795775,19.239413921999653,0.0024673722853643916
released_clip,shoe,94,5,5,21.619309914180853,26.720929403190514,0.04625494541544388,18.781183861519345,0.0024628343855477267
released_clip,scarf,73,5,5,21.803773323348157,26.643777630001722,0.045863621180154586,18.708633836471915,0.002451468214143186
released_clip,refrigerator,65,5,5,21.528100252580288,27.070586839305342,0.04645091709288855,19.001854346006045,0.0024445465293576447
released_clip,bird,63,5,5,21.432941754842957,27.174899182977867,0.046657151007935785,19.08982353839708,0.002444084981408553
released_clip,car,69,5,5,21.354067541373478,27.35207283956147,0.04682948567351402,19.176807124862325,0.0024419855384998153
released_clip,bed,74,5,5,21.82057397568447,26.84811704762961,0.0458283086922617,18.825516337103846,0.002434371938151685
released_clip,pony,63,5,5,21.104676176189134,27.749824956416294,0.04738286395165006,19.486226242264575,0.0024316080169940334
released_clip,purse,76,5,5,21.517433464836596,27.423357679523075,0.046473944099057266,19.28459793620796,0.00240989956092368
released_clip,bench,64,5,5,21.789613669750544,27.12130345726841,0.0458934249664211,19.050903855858785,0.0024089893746593732
released_clip,paper,99,5,5,21.37374352052729,27.638218951262452,0.04678637595887695,19.449434427603663,0.0024055391498929786
released_clip,ball,86,5,5,21.274070133005782,27.96553848105448,0.04700557973852611,19.634238537882073,0.0023940617634768003
released_clip,hat,78,5,5,21.83930032852337,27.307940980896763,0.04578901269533543,19.15817773600206,0.0023900505218347927
released_clip,bowl,88,5,5,21.704647450563588,27.553435511294225,0.04607308191840885,19.335830464590934,0.002382782679170722
released_clip,crib,60,5,5,22.165250441396324,27.047256494114585,0.04511566438845091,18.93998599775899,0.0023820326157468685
released_clip,jacket,76,5,5,22.14085113663888,27.21412039408342,0.04516538202748634,19.054418667574573,0.002370336393644247
released_clip,basket,91,5,5,21.925568096322998,27.76865067088176,0.04560885244144273,19.502671973813833,0.002338595065470084
released_clip,vacuum,62,5,5,21.935059818148947,27.754705373435556,0.04558911661469943,19.50731053677169,0.0023370272662017137
released_clip,dog,71,5,5,21.984422731084116,27.74755188247743,0.04548675269904106,19.4959324575254,0.00233314065886001
released_clip,pajamas,86,5,5,22.45732562404831,27.45943945618766,0.04452889968915779,19.293705749348156,0.00230794955969836
released_clip,shirt,91,5,5,22.488040452662602,27.69137692838293,0.044468080805217476,19.451770321629482,0.002286068572163378
released_clip,tree,99,5,5,22.16436702255338,28.411604821988853,0.04511746259130471,20.015878109208384,0.0022540836002867266
released_clip,slide,57,5,5,22.290799880447004,28.390457659736875,0.04486155747498222,19.953564121825835,0.0022482979582535453
released_clip,dish,90,5,5,22.333908802717986,28.750520190353264,0.0447749656736443,20.22335846845806,0.002214022252707376
released_clip,bucket,71,5,5,22.849803252201134,28.474513978446687,0.04376405297510251,19.96557674487559,0.00219197539516784
released_clip,stick,73,5,5,22.966169178450983,28.310733038462878,0.043542307479746946,19.90259671844532,0.0021877701736976274
released_clip,doll,89,5,5,22.906686236250685,28.42809112430513,0.04365537597566001,20.002272292795062,0.002182520832464866
released_clip,table,94,5,5,22.999202034172832,28.926366362172143,0.0434797693639185,20.346774812825874,0.002136936677379966
released_clip,box,86,5,5,23.460973163062842,28.95828442845455,0.04262397783116723,20.321209157730028,0.0020975118901796945
